SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,N_RUNS,AUROC (Mean ± SD),AUPRC (Mean ± SD),F1-Score (Mean ± SD),Brier (Mean ± SD),ECE (Mean ± SD)
F,GES,FFMLP,18,18,42098d9aa1628d19,5,0.795 ± 0.008,0.101 ± 0.007,0.141 ± 0.015,0.02144 ± 0.00024,0.00567 ± 0.00157
F,GES,FFMLP,19,19,c938b24dda604106,5,0.792 ± 0.014,0.100 ± 0.005,0.147 ± 0.047,0.02144 ± 0.00021,0.00515 ± 0.00199
F,GES,FFMLP,20,20,95736524a3320dfa,5,0.796 ± 0.012,0.100 ± 0.006,0.162 ± 0.031,0.02142 ± 0.00036,0.00552 ± 0.00162
F,GES,FFMLP,21,21,b1013a58f6a863d3,5,0.792 ± 0.012,0.101 ± 0.006,0.170 ± 0.017,0.02131 ± 0.00027,0.00595 ± 0.00271
F,GES,FFMLP,22,22,69b21fa79c76dd71,5,0.796 ± 0.012,0.106 ± 0.005,0.183 ± 0.036,0.02139 ± 0.00020,0.00545 ± 0.00165
F,GES,FFMLP,23,23,f3e9e90c8bf117ce,5,0.821 ± 0.012,0.114 ± 0.014,0.168 ± 0.047,0.02129 ± 0.00021,0.00476 ± 0.00073
F,GES,FFMLP,24,24,c8ff01f260326497,5,0.820 ± 0.006,0.111 ± 0.007,0.137 ± 0.037,0.02130 ± 0.00018,0.00628 ± 0.00188
F,GES,FFMLP,25,25,abf08a8f8a6d539b,5,0.819 ± 0.018,0.115 ± 0.008,0.186 ± 0.040,0.02131 ± 0.00025,0.00541 ± 0.00115
F,GES,FFMLP,26,26,4ef501c58a6274ae,5,0.806 ± 0.007,0.128 ± 0.006,0.198 ± 0.042,0.02104 ± 0.00005,0.00908 ± 0.00182
F,GES,FFMLP,27,27,cf0e758521eb792f,5,0.809 ± 0.004,0.127 ± 0.009,0.185 ± 0.050,0.02087 ± 0.00015,0.00842 ± 0.00098
F,GES,FFMLP,28,28,c043e118307ea018,5,0.813 ± 0.008,0.136 ± 0.008,0.203 ± 0.022,0.02094 ± 0.00024,0.00887 ± 0.00169
F,GES,FFMLP,29,29,dace13742e348e7e,5,0.806 ± 0.005,0.132 ± 0.003,0.250 ± 0.022,0.02090 ± 0.00016,0.00953 ± 0.00198
F,GES,FFMLP,30,30,bcd5503e9fd4ef7a,5,0.807 ± 0.006,0.130 ± 0.007,0.201 ± 0.041,0.02097 ± 0.00011,0.00911 ± 0.00212
F,GES,FFMLP,31,31,1b74e3840f4dcb5e,5,0.809 ± 0.016,0.135 ± 0.012,0.206 ± 0.034,0.02090 ± 0.00032,0.00928 ± 0.00189
F,GES,FFMLP,32,32,f8e9eae69271f27d,5,0.802 ± 0.008,0.130 ± 0.008,0.225 ± 0.015,0.02097 ± 0.00015,0.00914 ± 0.00037
F,GES,FFMLP,33,33,270cd88962214341,5,0.805 ± 0.007,0.135 ± 0.008,0.214 ± 0.036,0.02095 ± 0.00026,0.00955 ± 0.00076
F,GES,FFMLP,34,34,b154670abb75bb96,5,0.804 ± 0.007,0.133 ± 0.005,0.197 ± 0.048,0.02088 ± 0.00024,0.00860 ± 0.00089
F,GES,FFMLP,35,35,78535073af7929c5,5,0.810 ± 0.003,0.133 ± 0.007,0.208 ± 0.024,0.02088 ± 0.00025,0.00981 ± 0.00086
F,GES,LightGBM,1,1,1d7f152d06cd3fe6,5,0.534 ± 0.000,0.025 ± 0.000,0.011 ± 0.000,0.02207 ± 0.00000,0.00504 ± 0.00000
F,GES,LightGBM,2,2,ff0397322a3d5d90,5,0.698 ± 0.000,0.050 ± 0.000,0.103 ± 0.000,0.02586 ± 0.00000,0.02425 ± 0.00000
F,GES,LightGBM,3,3,050527a740ae0026,5,0.715 ± 0.026,0.047 ± 0.004,0.088 ± 0.033,0.02492 ± 0.00052,0.02422 ± 0.00074
F,GES,LightGBM,4,4,e6c20743d2697131,5,0.757 ± 0.003,0.068 ± 0.002,0.117 ± 0.013,0.02400 ± 0.00013,0.02275 ± 0.00027
F,GES,LightGBM,5,5,84c9d88f2762407d,5,0.783 ± 0.007,0.093 ± 0.002,0.170 ± 0.013,0.02270 ± 0.00014,0.02001 ± 0.00048
F,GES,LightGBM,6,6,82d6016092529b79,5,0.858 ± 0.002,0.197 ± 0.005,0.281 ± 0.010,0.02105 ± 0.00011,0.01860 ± 0.00015
F,GES,LightGBM,7,7,e100ab5953b3e063,5,0.897 ± 0.003,0.236 ± 0.005,0.329 ± 0.022,0.02068 ± 0.00017,0.01912 ± 0.00041
F,GES,LightGBM,8,8,89de563635bcbd2c,5,0.895 ± 0.005,0.244 ± 0.002,0.326 ± 0.017,0.02041 ± 0.00014,0.01882 ± 0.00054
F,GES,LightGBM,9,9,d7b238a88ea0323e,5,0.901 ± 0.003,0.277 ± 0.003,0.325 ± 0.015,0.01965 ± 0.00011,0.01817 ± 0.00023
F,GES,LightGBM,10,10,0de4f86da9a59fff,5,0.905 ± 0.001,0.295 ± 0.008,0.333 ± 0.009,0.01953 ± 0.00010,0.01843 ± 0.00044
F,GES,LightGBM,11,11,56570fad43698001,5,0.901 ± 0.002,0.312 ± 0.005,0.338 ± 0.011,0.01937 ± 0.00021,0.01840 ± 0.00034
F,GES,LightGBM,12,12,00d70da8e9622c65,5,0.904 ± 0.003,0.322 ± 0.005,0.367 ± 0.008,0.01917 ± 0.00021,0.01829 ± 0.00027
F,GES,LightGBM,13,13,a32e33bf80e29d23,5,0.890 ± 0.005,0.304 ± 0.006,0.389 ± 0.014,0.01949 ± 0.00011,0.01862 ± 0.00043
F,GES,LightGBM,14,14,5f6720543a9e57a0,5,0.899 ± 0.004,0.325 ± 0.008,0.415 ± 0.008,0.01912 ± 0.00020,0.01859 ± 0.00051
F,GES,LightGBM,15,15,85cfaa789ded5eb5,5,0.905 ± 0.004,0.330 ± 0.011,0.390 ± 0.012,0.01903 ± 0.00033,0.01810 ± 0.00044
F,GES,LightGBM,16,16,f1d74ec51da3a8a5,5,0.918 ± 0.005,0.369 ± 0.005,0.436 ± 0.015,0.01851 ± 0.00023,0.01775 ± 0.00027
F,GES,LightGBM,17,17,e937e198b6c28991,5,0.916 ± 0.003,0.365 ± 0.003,0.415 ± 0.008,0.01864 ± 0.00020,0.01798 ± 0.00017
F,GES,LightGBM,18,18,42098d9aa1628d19,5,0.913 ± 0.003,0.389 ± 0.008,0.414 ± 0.013,0.01788 ± 0.00024,0.01721 ± 0.00063
F,GES,LightGBM,19,19,c938b24dda604106,5,0.914 ± 0.002,0.394 ± 0.003,0.422 ± 0.006,0.01795 ± 0.00026,0.01769 ± 0.00064
F,GES,LightGBM,20,20,95736524a3320dfa,5,0.914 ± 0.004,0.398 ± 0.007,0.431 ± 0.016,0.01770 ± 0.00032,0.01731 ± 0.00046
F,GES,LightGBM,21,21,b1013a58f6a863d3,5,0.919 ± 0.005,0.403 ± 0.005,0.424 ± 0.015,0.01807 ± 0.00010,0.01824 ± 0.00037
F,GES,LightGBM,22,22,69b21fa79c76dd71,5,0.925 ± 0.003,0.408 ± 0.005,0.426 ± 0.017,0.01795 ± 0.00022,0.01767 ± 0.00055
F,GES,LightGBM,23,23,f3e9e90c8bf117ce,5,0.916 ± 0.002,0.436 ± 0.009,0.460 ± 0.012,0.01738 ± 0.00018,0.01734 ± 0.00027
F,GES,LightGBM,24,24,c8ff01f260326497,5,0.915 ± 0.003,0.434 ± 0.006,0.456 ± 0.015,0.01743 ± 0.00017,0.01719 ± 0.00056
F,GES,LightGBM,25,25,abf08a8f8a6d539b,5,0.917 ± 0.002,0.427 ± 0.005,0.455 ± 0.009,0.01750 ± 0.00011,0.01758 ± 0.00028
F,GES,LightGBM,26,26,4ef501c58a6274ae,5,0.919 ± 0.003,0.432 ± 0.005,0.443 ± 0.013,0.01760 ± 0.00010,0.01764 ± 0.00018
F,GES,LightGBM,27,27,cf0e758521eb792f,5,0.917 ± 0.003,0.441 ± 0.006,0.445 ± 0.010,0.01753 ± 0.00008,0.01735 ± 0.00040
F,GES,LightGBM,28,28,c043e118307ea018,5,0.920 ± 0.003,0.443 ± 0.003,0.436 ± 0.012,0.01751 ± 0.00014,0.01721 ± 0.00007
F,GES,LightGBM,29,29,dace13742e348e7e,5,0.922 ± 0.002,0.438 ± 0.004,0.428 ± 0.006,0.01777 ± 0.00017,0.01746 ± 0.00035
F,GES,LightGBM,30,30,bcd5503e9fd4ef7a,5,0.924 ± 0.002,0.441 ± 0.006,0.443 ± 0.015,0.01748 ± 0.00021,0.01742 ± 0.00041
F,GES,LightGBM,31,31,1b74e3840f4dcb5e,5,0.919 ± 0.001,0.437 ± 0.005,0.436 ± 0.006,0.01747 ± 0.00013,0.01697 ± 0.00027
F,GES,LightGBM,32,32,f8e9eae69271f27d,5,0.925 ± 0.002,0.461 ± 0.005,0.455 ± 0.016,0.01703 ± 0.00010,0.01649 ± 0.00019
F,GES,LightGBM,33,33,270cd88962214341,5,0.926 ± 0.002,0.459 ± 0.003,0.451 ± 0.008,0.01705 ± 0.00013,0.01668 ± 0.00015
F,GES,LightGBM,34,34,b154670abb75bb96,5,0.928 ± 0.002,0.468 ± 0.004,0.453 ± 0.007,0.01690 ± 0.00023,0.01684 ± 0.00039
F,GES,LightGBM,35,35,78535073af7929c5,5,0.925 ± 0.003,0.468 ± 0.005,0.453 ± 0.011,0.01695 ± 0.00006,0.01679 ± 0.00023
F,GES,Logit,1,1,1d7f152d06cd3fe6,5,0.457 ± 0.000,0.025 ± 0.000,0.043 ± 0.000,0.02160 ± 0.00000,0.00052 ± 0.00000
F,GES,Logit,2,2,ff0397322a3d5d90,5,0.425 ± 0.000,0.021 ± 0.000,0.043 ± 0.000,0.02163 ± 0.00000,0.00086 ± 0.00000
F,GES,Logit,3,3,050527a740ae0026,5,0.419 ± 0.000,0.021 ± 0.000,0.043 ± 0.000,0.02163 ± 0.00000,0.00084 ± 0.00000
F,GES,Logit,4,4,e6c20743d2697131,5,0.571 ± 0.000,0.028 ± 0.000,0.044 ± 0.000,0.02171 ± 0.00000,0.00120 ± 0.00000
F,GES,Logit,5,5,84c9d88f2762407d,5,0.560 ± 0.000,0.026 ± 0.000,0.044 ± 0.000,0.02169 ± 0.00000,0.00124 ± 0.00000
F,GES,Logit,6,6,82d6016092529b79,5,0.560 ± 0.000,0.026 ± 0.000,0.044 ± 0.000,0.02169 ± 0.00000,0.00125 ± 0.00000
F,GES,Logit,7,7,e100ab5953b3e063,5,0.544 ± 0.000,0.024 ± 0.000,0.044 ± 0.000,0.02171 ± 0.00000,0.00137 ± 0.00000
F,GES,Logit,8,8,89de563635bcbd2c,5,0.529 ± 0.000,0.023 ± 0.000,0.044 ± 0.000,0.02202 ± 0.00000,0.00185 ± 0.00000
F,GES,Logit,9,9,d7b238a88ea0323e,5,0.566 ± 0.000,0.025 ± 0.000,0.044 ± 0.000,0.02214 ± 0.00000,0.00222 ± 0.00000
F,GES,Logit,10,10,0de4f86da9a59fff,5,0.587 ± 0.000,0.027 ± 0.000,0.044 ± 0.000,0.02238 ± 0.00000,0.00234 ± 0.00000
F,GES,Logit,11,11,56570fad43698001,5,0.587 ± 0.000,0.027 ± 0.000,0.044 ± 0.000,0.02237 ± 0.00000,0.00236 ± 0.00000
F,GES,Logit,12,12,00d70da8e9622c65,5,0.587 ± 0.000,0.027 ± 0.000,0.044 ± 0.000,0.02239 ± 0.00000,0.00251 ± 0.00000
F,GES,Logit,13,13,a32e33bf80e29d23,5,0.613 ± 0.000,0.030 ± 0.000,0.044 ± 0.000,0.02230 ± 0.00000,0.00261 ± 0.00000
F,GES,Logit,14,14,5f6720543a9e57a0,5,0.618 ± 0.000,0.031 ± 0.000,0.044 ± 0.000,0.02228 ± 0.00000,0.00254 ± 0.00000
F,GES,Logit,15,15,85cfaa789ded5eb5,5,0.628 ± 0.000,0.033 ± 0.000,0.044 ± 0.000,0.02231 ± 0.00000,0.00278 ± 0.00000
F,GES,Logit,16,16,f1d74ec51da3a8a5,5,0.628 ± 0.000,0.033 ± 0.000,0.044 ± 0.000,0.02234 ± 0.00000,0.00273 ± 0.00000
F,GES,Logit,17,17,e937e198b6c28991,5,0.627 ± 0.000,0.033 ± 0.000,0.044 ± 0.000,0.02238 ± 0.00000,0.00301 ± 0.00000
F,GES,Logit,18,18,42098d9aa1628d19,5,0.724 ± 0.000,0.053 ± 0.000,0.093 ± 0.000,0.02257 ± 0.00000,0.00391 ± 0.00000
F,GES,Logit,19,19,c938b24dda604106,5,0.733 ± 0.000,0.057 ± 0.000,0.132 ± 0.000,0.02266 ± 0.00000,0.00414 ± 0.00000
F,GES,Logit,20,20,95736524a3320dfa,5,0.732 ± 0.000,0.058 ± 0.000,0.131 ± 0.000,0.02272 ± 0.00000,0.00425 ± 0.00000
F,GES,Logit,21,21,b1013a58f6a863d3,5,0.729 ± 0.000,0.056 ± 0.000,0.130 ± 0.000,0.02288 ± 0.00000,0.00446 ± 0.00000
F,GES,Logit,22,22,69b21fa79c76dd71,5,0.727 ± 0.000,0.056 ± 0.000,0.131 ± 0.000,0.02289 ± 0.00000,0.00447 ± 0.00000
F,GES,Logit,23,23,f3e9e90c8bf117ce,5,0.730 ± 0.000,0.057 ± 0.000,0.129 ± 0.000,0.02289 ± 0.00000,0.00455 ± 0.00000
F,GES,Logit,24,24,c8ff01f260326497,5,0.735 ± 0.000,0.058 ± 0.000,0.141 ± 0.000,0.02285 ± 0.00000,0.00441 ± 0.00000
F,GES,Logit,25,25,abf08a8f8a6d539b,5,0.741 ± 0.000,0.059 ± 0.000,0.136 ± 0.000,0.02279 ± 0.00000,0.00435 ± 0.00000
F,GES,Logit,26,26,4ef501c58a6274ae,5,0.745 ± 0.000,0.083 ± 0.000,0.183 ± 0.000,0.02229 ± 0.00000,0.00430 ± 0.00000
F,GES,Logit,27,27,cf0e758521eb792f,5,0.746 ± 0.000,0.083 ± 0.000,0.190 ± 0.000,0.02230 ± 0.00000,0.00443 ± 0.00000
F,GES,Logit,28,28,c043e118307ea018,5,0.748 ± 0.000,0.084 ± 0.000,0.190 ± 0.000,0.02237 ± 0.00000,0.00445 ± 0.00000
F,GES,Logit,29,29,dace13742e348e7e,5,0.748 ± 0.000,0.085 ± 0.000,0.131 ± 0.000,0.02235 ± 0.00000,0.00445 ± 0.00000
F,GES,Logit,30,30,bcd5503e9fd4ef7a,5,0.749 ± 0.000,0.085 ± 0.000,0.190 ± 0.000,0.02231 ± 0.00000,0.00437 ± 0.00000
F,GES,Logit,31,31,1b74e3840f4dcb5e,5,0.749 ± 0.000,0.085 ± 0.000,0.190 ± 0.000,0.02228 ± 0.00000,0.00434 ± 0.00000
F,GES,Logit,32,32,f8e9eae69271f27d,5,0.749 ± 0.000,0.085 ± 0.000,0.190 ± 0.000,0.02227 ± 0.00000,0.00407 ± 0.00000
F,GES,Logit,33,33,270cd88962214341,5,0.751 ± 0.000,0.085 ± 0.000,0.190 ± 0.000,0.02233 ± 0.00000,0.00436 ± 0.00000
F,GES,Logit,34,34,b154670abb75bb96,5,0.751 ± 0.000,0.085 ± 0.000,0.190 ± 0.000,0.02234 ± 0.00000,0.00439 ± 0.00000
F,GES,Logit,35,35,78535073af7929c5,5,0.751 ± 0.000,0.085 ± 0.000,0.192 ± 0.000,0.02231 ± 0.00000,0.00413 ± 0.00000
F,GES,RF,1,1,1d7f152d06cd3fe6,5,0.489 ± 0.010,0.022 ± 0.000,0.020 ± 0.005,0.03241 ± 0.00013,0.04106 ± 0.00018
F,GES,RF,2,2,ff0397322a3d5d90,5,0.633 ± 0.009,0.042 ± 0.002,0.073 ± 0.007,0.02346 ± 0.00010,0.02248 ± 0.00063
F,GES,RF,3,3,050527a740ae0026,5,0.704 ± 0.003,0.054 ± 0.001,0.100 ± 0.006,0.02230 ± 0.00003,0.01564 ± 0.00066
F,GES,RF,4,4,e6c20743d2697131,5,0.730 ± 0.009,0.062 ± 0.001,0.110 ± 0.007,0.02256 ± 0.00006,0.01773 ± 0.00053
F,GES,RF,5,5,84c9d88f2762407d,5,0.783 ± 0.005,0.086 ± 0.002,0.184 ± 0.010,0.02142 ± 0.00004,0.00927 ± 0.00046
F,GES,RF,6,6,82d6016092529b79,5,0.880 ± 0.005,0.199 ± 0.005,0.304 ± 0.010,0.01947 ± 0.00008,0.00575 ± 0.00076
F,GES,RF,7,7,e100ab5953b3e063,5,0.895 ± 0.005,0.244 ± 0.007,0.350 ± 0.010,0.01863 ± 0.00008,0.00534 ± 0.00095
F,GES,RF,8,8,89de563635bcbd2c,5,0.897 ± 0.002,0.249 ± 0.002,0.355 ± 0.026,0.01849 ± 0.00003,0.00541 ± 0.00062
F,GES,RF,9,9,d7b238a88ea0323e,5,0.910 ± 0.004,0.286 ± 0.009,0.356 ± 0.030,0.01804 ± 0.00008,0.00478 ± 0.00120
F,GES,RF,10,10,0de4f86da9a59fff,5,0.904 ± 0.005,0.282 ± 0.007,0.355 ± 0.008,0.01816 ± 0.00009,0.00368 ± 0.00039
F,GES,RF,11,11,56570fad43698001,5,0.909 ± 0.004,0.289 ± 0.006,0.351 ± 0.015,0.01816 ± 0.00006,0.00436 ± 0.00065
F,GES,RF,12,12,00d70da8e9622c65,5,0.903 ± 0.002,0.287 ± 0.003,0.348 ± 0.030,0.01819 ± 0.00003,0.00465 ± 0.00118
F,GES,RF,13,13,a32e33bf80e29d23,5,0.904 ± 0.005,0.274 ± 0.005,0.360 ± 0.007,0.01825 ± 0.00006,0.00406 ± 0.00096
F,GES,RF,14,14,5f6720543a9e57a0,5,0.909 ± 0.003,0.260 ± 0.007,0.331 ± 0.009,0.01847 ± 0.00006,0.00367 ± 0.00072
F,GES,RF,15,15,85cfaa789ded5eb5,5,0.908 ± 0.005,0.267 ± 0.004,0.351 ± 0.015,0.01837 ± 0.00006,0.00390 ± 0.00052
F,GES,RF,16,16,f1d74ec51da3a8a5,5,0.919 ± 0.003,0.282 ± 0.003,0.327 ± 0.011,0.01826 ± 0.00004,0.00469 ± 0.00135
F,GES,RF,17,17,e937e198b6c28991,5,0.919 ± 0.002,0.283 ± 0.002,0.317 ± 0.015,0.01832 ± 0.00003,0.00420 ± 0.00038
F,GES,RF,18,18,42098d9aa1628d19,5,0.923 ± 0.002,0.324 ± 0.004,0.374 ± 0.005,0.01784 ± 0.00003,0.00447 ± 0.00061
F,GES,RF,19,19,c938b24dda604106,5,0.922 ± 0.003,0.322 ± 0.005,0.378 ± 0.013,0.01781 ± 0.00004,0.00443 ± 0.00092
F,GES,RF,20,20,95736524a3320dfa,5,0.921 ± 0.006,0.311 ± 0.003,0.344 ± 0.025,0.01794 ± 0.00006,0.00497 ± 0.00108
F,GES,RF,21,21,b1013a58f6a863d3,5,0.924 ± 0.006,0.321 ± 0.005,0.368 ± 0.011,0.01772 ± 0.00007,0.00388 ± 0.00109
F,GES,RF,22,22,69b21fa79c76dd71,5,0.924 ± 0.004,0.326 ± 0.005,0.356 ± 0.016,0.01765 ± 0.00005,0.00374 ± 0.00082
F,GES,RF,23,23,f3e9e90c8bf117ce,5,0.920 ± 0.005,0.398 ± 0.003,0.394 ± 0.010,0.01650 ± 0.00003,0.00376 ± 0.00052
F,GES,RF,24,24,c8ff01f260326497,5,0.919 ± 0.005,0.401 ± 0.005,0.395 ± 0.016,0.01650 ± 0.00003,0.00418 ± 0.00054
F,GES,RF,25,25,abf08a8f8a6d539b,5,0.924 ± 0.007,0.399 ± 0.002,0.403 ± 0.014,0.01649 ± 0.00002,0.00401 ± 0.00103
F,GES,RF,26,26,4ef501c58a6274ae,5,0.921 ± 0.005,0.393 ± 0.007,0.406 ± 0.025,0.01654 ± 0.00008,0.00453 ± 0.00043
F,GES,RF,27,27,cf0e758521eb792f,5,0.915 ± 0.004,0.399 ± 0.006,0.404 ± 0.022,0.01644 ± 0.00005,0.00408 ± 0.00066
F,GES,RF,28,28,c043e118307ea018,5,0.924 ± 0.002,0.402 ± 0.005,0.407 ± 0.007,0.01629 ± 0.00008,0.00429 ± 0.00043
F,GES,RF,29,29,dace13742e348e7e,5,0.920 ± 0.007,0.404 ± 0.003,0.391 ± 0.026,0.01629 ± 0.00004,0.00360 ± 0.00039
F,GES,RF,30,30,bcd5503e9fd4ef7a,5,0.919 ± 0.006,0.414 ± 0.003,0.418 ± 0.013,0.01617 ± 0.00001,0.00458 ± 0.00055
F,GES,RF,31,31,1b74e3840f4dcb5e,5,0.917 ± 0.007,0.404 ± 0.003,0.420 ± 0.018,0.01627 ± 0.00006,0.00426 ± 0.00053
F,GES,RF,32,32,f8e9eae69271f27d,5,0.921 ± 0.006,0.419 ± 0.008,0.429 ± 0.031,0.01610 ± 0.00009,0.00376 ± 0.00077
F,GES,RF,33,33,270cd88962214341,5,0.922 ± 0.009,0.418 ± 0.009,0.451 ± 0.012,0.01610 ± 0.00010,0.00395 ± 0.00093
F,GES,RF,34,34,b154670abb75bb96,5,0.927 ± 0.006,0.415 ± 0.007,0.436 ± 0.022,0.01610 ± 0.00007,0.00411 ± 0.00077
F,GES,RF,35,35,78535073af7929c5,5,0.925 ± 0.004,0.414 ± 0.003,0.439 ± 0.037,0.01611 ± 0.00003,0.00446 ± 0.00103
F,GES,XGBoost,1,1,1d7f152d06cd3fe6,5,0.533 ± 0.002,0.025 ± 0.001,0.048 ± 0.001,0.02186 ± 0.00001,0.00377 ± 0.00032
F,GES,XGBoost,2,2,ff0397322a3d5d90,5,0.685 ± 0.003,0.052 ± 0.001,0.097 ± 0.014,0.02174 ± 0.00002,0.00589 ± 0.00049
F,GES,XGBoost,3,3,050527a740ae0026,5,0.772 ± 0.002,0.076 ± 0.005,0.113 ± 0.018,0.02165 ± 0.00007,0.00918 ± 0.00071
F,GES,XGBoost,4,4,e6c20743d2697131,5,0.784 ± 0.002,0.078 ± 0.001,0.130 ± 0.011,0.02185 ± 0.00006,0.01167 ± 0.00101
F,GES,XGBoost,5,5,84c9d88f2762407d,5,0.821 ± 0.004,0.118 ± 0.007,0.203 ± 0.009,0.02112 ± 0.00020,0.00823 ± 0.00073
F,GES,XGBoost,6,6,82d6016092529b79,5,0.892 ± 0.003,0.208 ± 0.010,0.289 ± 0.022,0.01985 ± 0.00024,0.00892 ± 0.00131
F,GES,XGBoost,7,7,e100ab5953b3e063,5,0.906 ± 0.003,0.266 ± 0.006,0.328 ± 0.007,0.01861 ± 0.00009,0.00933 ± 0.00043
F,GES,XGBoost,8,8,89de563635bcbd2c,5,0.911 ± 0.003,0.271 ± 0.010,0.334 ± 0.016,0.01860 ± 0.00016,0.00873 ± 0.00052
F,GES,XGBoost,9,9,d7b238a88ea0323e,5,0.914 ± 0.002,0.276 ± 0.007,0.366 ± 0.016,0.01850 ± 0.00010,0.01011 ± 0.00035
F,GES,XGBoost,10,10,0de4f86da9a59fff,5,0.912 ± 0.002,0.274 ± 0.003,0.352 ± 0.007,0.01867 ± 0.00005,0.01086 ± 0.00118
F,GES,XGBoost,11,11,56570fad43698001,5,0.911 ± 0.002,0.273 ± 0.011,0.356 ± 0.012,0.01861 ± 0.00016,0.01024 ± 0.00067
F,GES,XGBoost,12,12,00d70da8e9622c65,5,0.911 ± 0.002,0.285 ± 0.013,0.349 ± 0.017,0.01842 ± 0.00024,0.00992 ± 0.00047
F,GES,XGBoost,13,13,a32e33bf80e29d23,5,0.907 ± 0.002,0.317 ± 0.007,0.383 ± 0.013,0.01802 ± 0.00019,0.01075 ± 0.00062
F,GES,XGBoost,14,14,5f6720543a9e57a0,5,0.909 ± 0.001,0.314 ± 0.014,0.371 ± 0.027,0.01815 ± 0.00017,0.01167 ± 0.00067
F,GES,XGBoost,15,15,85cfaa789ded5eb5,5,0.910 ± 0.004,0.311 ± 0.007,0.370 ± 0.013,0.01834 ± 0.00017,0.01155 ± 0.00050
F,GES,XGBoost,16,16,f1d74ec51da3a8a5,5,0.932 ± 0.002,0.340 ± 0.006,0.363 ± 0.033,0.01810 ± 0.00018,0.01215 ± 0.00036
F,GES,XGBoost,17,17,e937e198b6c28991,5,0.933 ± 0.003,0.340 ± 0.006,0.386 ± 0.007,0.01796 ± 0.00009,0.01177 ± 0.00055
F,GES,XGBoost,18,18,42098d9aa1628d19,5,0.932 ± 0.002,0.359 ± 0.006,0.402 ± 0.012,0.01755 ± 0.00016,0.01097 ± 0.00057
F,GES,XGBoost,19,19,c938b24dda604106,5,0.931 ± 0.003,0.380 ± 0.006,0.402 ± 0.015,0.01723 ± 0.00020,0.01119 ± 0.00064
F,GES,XGBoost,20,20,95736524a3320dfa,5,0.931 ± 0.003,0.379 ± 0.007,0.401 ± 0.028,0.01725 ± 0.00019,0.01154 ± 0.00054
